Neuron class	Class member	Lineage	Neurotransmitter identity	"Reporter transgene expressed in this cell (based on manually curated Wormbase dataset as of July 15th, 2016)"																																																																																																																																												
ADA	ADAL	AB.plapaaaapp	Glu	cam-1	eat-4	che-7	inx-19	ncr-1	unc-9	unc-86	srab-12	dkf-2	flp-8	pdf-1																																																																																																																																		
	ADAR	AB.prapaaaapp	Glu	cam-1	eat-4	che-7	inx-19	ncr-1	unc-9	unc-86	srab-12	dkf-2	flp-8	pdf-1																																																																																																																																		
ADE	ADEL	AB.plapaaaapa	DA	bbs-1	bbs-2	bbs-8	osm-12	asic-1	atat-2	bas-1	cam-1	cat-1	cat-2	ceh-20	ceh-40	che-2	che-3	che-7	dat-1	dop-2	dyf-11	egl-36	egl-43	exp-1	gpa-14	ida-1	inx-7	mir-124	ncr-1	osm-6	pdf-1	snf-3	sulp-2	unc-103	unc-9	daf-7	hlh-13	tyra-3	tsp-17																																																																																																									
	ADER	AB.prapaaaapa	DA	bbs-1	bbs-2	bbs-8	osm-12	asic-1	atat-2	bas-1	cam-1	cat-1	cat-2	ceh-20	ceh-40	che-2	che-3	che-7	dat-1	dop-2	dyf-11	egl-36	egl-43	exp-1	gpa-14	ida-1	inx-7	mir-124	ncr-1	osm-6	pdf-1	snf-3	sulp-2	unc-103	unc-9	daf-7	hlh-13	tyra-3	tsp-17																																																																																																									
ADF	ADFL	AB.alpppppaa	Ach	acc-4	bbs-1	bbs-2	bbs-8	osm-12	aho-3	bas-1	C33A12.4	cat-1	cat-4	ceh-19	che-3	che-7	csk-1		daf-25	die-1	dkf-1		dyf-11	dyf-3	dylt-1		egl-30	egl-43	elpc-1	elpc-3	glb-5	gpa-10	gpa-13	gpa-3	ins-1	ins-7	inx-19	K07C11.10	K10G6.4	kvs-1	lin-11	lst-1	mab-3	mgl-3	mod-5	mps-1	mps-2	mps-3	ncs-1	nhr-36	nhr-67	nlp-3	nlp-7	nphp-1	nphp-4	npr-5	ntr-1	ntr-2	ocr-2	odr-3	odr-4	odr-8	oig-1	osm-3	osm-6	osm-9	pnc-1	R102.2	snf-5	srb-6	src-1	srd-1	syg-1	T27A3.1	tax-6	tba-9	tmc-1	tph-1	ttx-7	Y55D5A.1	cho-1	flp-21	lite-1	lin-11	npr-2	srh-142	tph-1	unc-17	ntr-2	qdpr-1	ntr-1																																																					
	ADFR	AB.praaappaa	Ach	acc-4	bbs-1	bbs-2	bbs-8	osm-12	aho-3	bas-1	C33A12.4	cat-1	cat-4	ceh-19	che-3	che-7	csk-1		daf-25	die-1	dkf-1		dyf-11	dyf-3	dylt-1		egl-30	egl-43	elpc-1	elpc-3	glb-5	gpa-10	gpa-13	gpa-3	ins-1	ins-7	inx-19	K07C11.10	K10G6.4	kvs-1	lin-11	lst-1	mab-3	mgl-3	mod-5	mps-1	mps-2	mps-3	ncs-1	nhr-36	nhr-67	nlp-3	nlp-7	nphp-1	nphp-4	npr-5	ntr-1	ntr-2	ocr-2	odr-3	odr-4	odr-8	oig-1	osm-3	osm-6	osm-9	pnc-1	R102.2	snf-5	srb-6	src-1	srd-1	syg-1	T27A3.1	tax-6	tba-9	tmc-1	tph-1	ttx-7	Y55D5A.1	cho-1	flp-21	lite-1	lin-11	npr-2	srh-142	tph-1	unc-17	ntr-2	qdpr-1	ntr-1																																																					
ADL	ADLL	AB.alppppaad	Glu	bbs-1	bbs-2	bbs-8	osm-12	arr-1	arrd-17	arrd-4	asna-1	C33A12.4	C34D4.1	cam-1	ceh-32	che-3	cnx-1	cog-1	daf-8	dkf-1	dyf-11	dyf-2	dyf-3	eat-4	EGAP5.1	egl-43	F25B4.2	flp-21	flp-4	gcy-21	glp-1	gpa-1	gpa-11	gpa-15	gpa-3	gpa-5	gpa-6	gpc-1	gtr-1	hlh-2	hlh-4	ift-81	inx-18	inx-19	jbts-14	K07C11.10	K07C5.9	K10D6.2	K10G6.4	kqt-3	kvs-1	lin-11	mks-5	msi-1	ncx-6	ncx-7	nhr-79	nlp-10	nlp-7	nlp-8	nphp-1	nphp-4	ntr-1	ntr-2	ocr-1	ocr-2	odr-4	odr-8	osm-3	osm-6	osm-9	pnc-1	pqn-47	qui-1	R102.2	rgs-3	ser-6	sgk-1	sra-39	srb-6	sre-1	srh-132	srh-139	srh-25	srh-281	srh-68	sri-51	sro-1	srsx-37	sru-4	srz-1	srz-6	svh-1	syg-1	tax-6	tbb-4	tmc-1	ttx-3	ttx-7	tub-1	tyra-3	unc-103	unc-9	ver-2	Y55D5A.1	lite-1	qui-1	ntr-2	ntr-1	ZC395.10																																		
	ADLR	AB.praaapaad	Glu	bbs-1	bbs-2	bbs-8	osm-12	arr-1	arrd-17	arrd-4	asna-1	C33A12.4	C34D4.1	cam-1	ceh-32	che-3	cnx-1	cog-1	daf-8	dkf-1	dyf-11	dyf-2	dyf-3	eat-4	EGAP5.1	egl-43	F25B4.2	flp-21	flp-4	gcy-21	glp-1	gpa-1	gpa-11	gpa-15	gpa-3	gpa-5	gpa-6	gpc-1	gtr-1	hlh-2	hlh-4	ift-81	inx-18	inx-19	jbts-14	K07C11.10	K07C5.9	K10D6.2	K10G6.4	kqt-3	kvs-1	lin-11	mks-5	msi-1	ncx-6	ncx-7	nhr-79	nlp-10	nlp-7	nlp-8	nphp-1	nphp-4	ntr-1	ntr-2	ocr-1	ocr-2	odr-4	odr-8	osm-3	osm-6	osm-9	pnc-1	pqn-47	qui-1	R102.2	rgs-3	ser-6	sgk-1	sra-39	srb-6	sre-1	srh-132	srh-139	srh-25	srh-281	srh-68	sri-51	sro-1	srsx-37	sru-4	srz-1	srz-6	svh-1	syg-1	tax-6	tbb-4	tmc-1	ttx-3	ttx-7	tub-1	tyra-3	unc-103	unc-9	ver-2	Y55D5A.1	lite-1	qui-1	ntr-2	ntr-1	ZC395.10																																		
AFD	AFDL	AB.alpppapav	Glu	aho-3	bbs-1	bbs-2	bbs-8	bra-1	ceh-14	cng-3	dac-1	daf-25	dbl-1	dgk-3	dkf-2	dmd-4	dyf-11	eat-4	egl-2	flp-6	gcy-18	gcy-23	gcy-29	gcy-8	gpc-1	inx-19	K10G6.4	kin-29	msi-1	ncs-1	nhr-36	nhr-38	nlp-21	nlp-7	nphp-1	ntc-1	oig-8	osm-12	osm-6	pde-2	pde-5	pkc-1	plc-1	pnc-1	R13H7.2	shn-1	srab-4	srtx-1	tax-2	tax-4	tax-6	tba-9	tbb-4	tmc-1	ttx-1	ttx-7	tyra-3	ugt-50	Y55D5A.1	zig-5	riok-1	pde-1																																																																																		
	AFDR	AB.praaaapav	Glu	aho-3	bbs-1	bbs-2	bbs-8	bra-1	ceh-14	cng-3	dac-1	daf-25	dbl-1	dgk-3	dkf-2	dmd-4	dyf-11	eat-4	egl-2	flp-6	gcy-18	gcy-23	gcy-29	gcy-8	gpc-1	inx-19	K10G6.4	kin-29	msi-1	ncs-1	nhr-36	nhr-38	nlp-21	nlp-7	nphp-1	ntc-1	oig-8	osm-12	osm-6	pde-2	pde-5	pkc-1	plc-1	pnc-1	R13H7.2	shn-1	srab-4	srtx-1	tax-2	tax-4	tax-6	tba-9	tbb-4	tmc-1	ttx-1	ttx-7	tyra-3	ugt-50	Y55D5A.1	zig-5	riok-1	pde-1																																																																																		
AIA	AIAL	AB.plppaappa	ACh	acc-4	ace-3	ace-4	cho-1	cng-1	cog-1	dkf-1	flp-1	flp-2	flr-2	gcy-28	glr-2	gpa-2	ins-1	mgl-1	mod-1	mps-4	npr-11	npr-5	ntr-2	pnc-1	scd-2	sra-11	srab-4	ttx-3	unc-103	unc-17																																																																																																																		
